id,sdr_reference,imei,session_status,momsn,mtmsn,time_of_session,indicator,latitude,longitude,cep_radius
1,2220013,333030323334303639313032303030,0,578,0,"2018-06-29 15:07:20.000000",0,55.0,37.0,4
2,2220017,333030323334303639313032303030,0,579,0,"2018-06-29 15:07:26.000000",0,55.0,37.0,4
3,2220026,333030323334303639313032303030,0,580,0,"2018-06-29 15:07:38.000000",0,55.0,37.0,4
4,2220030,333030323334303639313032303030,0,581,0,"2018-06-29 15:07:50.000000",0,55.0,37.0,4
5,2220049,333030323334303639313032303030,0,582,0,"2018-06-29 15:08:28.000000",0,55.0,37.0,3
6,2220055,333030323334303639313032303030,0,583,0,"2018-06-29 15:08:38.000000",0,55.0,37.0,3
7,2220085,333030323334303639313032303030,0,584,0,"2018-06-29 15:09:15.000000",0,55.0,37.0,2
8,2220118,333030323334303639313032303030,13,585,0,"2018-06-29 15:10:33.000000",0,55.0,37.0,2
9,2220128,333030323334303639313032303030,0,585,0,"2018-06-29 15:11:22.000000",0,55.0,37.0,2
10,2220133,333030323334303639313032303030,0,586,0,"2018-06-29 15:11:34.000000",0,55.0,37.0,3
11,2220140,333030323334303639313032303030,13,587,0,"2018-06-29 15:11:45.000000",0,55.0,37.0,3
12,2220146,333030323334303639313032303030,0,587,0,"2018-06-29 15:12:13.000000",0,55.0,37.0,3
13,2220160,333030323334303639313032303030,0,588,0,"2018-06-29 15:12:22.000000",0,55.0,37.0,3
14,2220164,333030323334303639313032303030,0,589,0,"2018-06-29 15:12:29.000000",0,55.0,37.0,3
15,2220166,333030323334303639313032303030,0,590,0,"2018-06-29 15:12:40.000000",0,55.0,37.0,4
16,2220178,333030323334303639313032303030,0,591,0,"2018-06-29 15:13:06.000000",0,55.0,37.0,4
17,2220316,333030323334303639313032303030,0,593,0,"2018-06-29 15:17:41.000000",0,55.0,37.0,3
18,2220320,333030323334303639313032303030,0,594,0,"2018-06-29 15:17:49.000000",0,55.0,37.0,3
19,2220330,333030323334303639313032303030,0,595,0,"2018-06-29 15:18:14.000000",0,55.0,37.0,3
20,2220332,333030323334303639313032303030,0,596,0,"2018-06-29 15:18:21.000000",0,55.0,37.0,3
21,2220383,333030323334303639313032303030,0,597,0,"2018-06-29 15:19:53.000000",0,55.0,37.0,2
22,2224427,333030323334303639313032303030,13,598,0,"2018-06-29 17:54:03.000000",0,55.0,37.0,3
23,2224437,333030323334303639313032303030,0,598,0,"2018-06-29 17:54:30.000000",0,55.0,37.0,3
24,2224446,333030323334303639313032303030,0,599,0,"2018-06-29 17:54:38.000000",0,55.0,37.0,3
